service_id,date,exception_type
1,20190928,1
2,20190929,1
3,20190930,1
3,20191001,1
3,20191002,1
3,20191003,1
3,20191004,1
1,20191005,1
2,20191006,1
3,20191007,1
3,20191008,1
3,20191009,1
3,20191010,1
3,20191011,1
4,20191012,1
2,20191013,1
3,20191014,1
3,20191015,1
3,20191016,1
3,20191017,1
3,20191018,1
1,20191019,1
2,20191020,1
3,20191021,1
3,20191022,1
3,20191023,1
3,20191024,1
3,20191025,1
1,20191026,1
2,20191027,1
3,20191028,1
3,20191029,1
3,20191030,1
3,20191031,1
3,20191101,1
1,20191102,1
2,20191103,1
3,20191104,1
3,20191105,1
3,20191106,1
3,20191107,1
3,20191108,1
1,20191109,1
2,20191110,1
3,20191111,1
3,20191112,1
3,20191113,1
3,20191114,1
3,20191115,1
1,20191116,1
2,20191117,1
4,20191118,1
3,20191119,1
3,20191120,1
3,20191121,1
3,20191122,1
1,20191123,1
2,20191124,1
3,20191125,1
3,20191126,1
3,20191127,1
3,20191128,1
3,20191129,1
1,20191130,1
2,20191201,1
3,20191202,1
3,20191203,1
3,20191204,1
3,20191205,1
3,20191206,1
1,20191207,1
4,20191208,1
3,20191209,1
3,20191210,1
3,20191211,1
3,20191212,1
3,20191213,1
1,20191214,1
2,20191215,1
3,20191216,1
3,20191217,1
3,20191218,1
3,20191219,1
3,20191220,1
1,20191221,1
2,20191222,1
3,20191223,1
1,20191224,1
4,20191225,1
3,20191226,1
3,20191227,1
1,20191228,1
2,20191229,1
3,20191230,1
1,20191231,1
